ID,Gender,Location,E-Paylater User Status,Educational Background,Year of Birth,Job Status,Monthly Income,Online Shopping Expenditure Percentage,Impulsive Buying Behavior Score,Promotion Score,Social Influence Score,Happiness Score,Self Control Score,Normative Evaluation Score
158,Female,Bengkulu,Non e-paylater user,Post Graduate,1999,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2.25,1.0,2.0,4.0,3.4,3.4
159,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1992,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3.0,2.0,2.5,3.25,3.0,3.8
160,Female,West Sumatera,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,2.0,1.0,2.0,4.0,3.6,3.0
161,Male,West Sumatera,Non e-paylater user,Until Senior High School,1977,Students,"Less than Rp 1,000,000",Less than 20%,3.0,2.75,2.0,4.0,3.4,4.2
162,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1996,Working,"More than Rp 10,000,000",81% - 100%,2.25,2.0,2.0,4.0,3.4,3.0
163,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,2.5,3.0,3.8333333333333335,4.0,3.8,3.8
164,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,2.25,1.0,2.0,4.0,2.8,4.8
165,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,2.0,1.25,1.1666666666666667,4.0,3.4,2.6
166,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,2.75,2.0,2.0,4.0,3.0,3.0
167,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,3.5,3.0,3.0,3.0,2.8,3.0
168,Female,West Sumatera,e-paylater user,Until Senior High School,1998,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2.25,2.5,3.3333333333333335,4.0,3.8,4.2
169,Female,West Sumatera,e-paylater user,Until Senior High School,1999,Students,"Rp 1,000,001 - Rp 2,500,000",41% - 60%,3.75,4.0,4.0,4.0,2.8,2.4
170,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1981,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3.25,4.0,3.5,4.0,3.4,3.8
171,Male,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3.25,3.0,2.8333333333333335,4.0,3.4,3.4
172,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"More than Rp 10,000,000",Less than 20%,2.0,1.0,1.1666666666666667,3.5,4.2,4.4
173,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Not Working,"More than Rp 10,000,000",21% - 40%,1.75,2.0,1.6666666666666667,3.5,4.0,1.8
174,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,1.5,1.5,1.1666666666666667,3.0,3.6,3.8
175,Female,West Java,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,3.25,3.5,3.8333333333333335,4.0,3.2,3.8
176,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,3.5,2.75,2.0,3.5,3.8,4.2
177,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"Less than Rp 1,000,000",Less than 20%,3.0,2.0,2.6666666666666665,3.5,2.6,3.2
178,Female,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,1.75,1.0,1.0,1.0,3.8,4.6
179,Female,West Sumatera,e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.5,4.0,3.8333333333333335,4.0,3.6,5.0
180,Female,Jambi,Non e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,2.0,2.75,2.5,5.0,2.8,4.4
181,Female,West Sumatera,e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",21% - 40%,2.5,4.0,4.0,3.5,2.8,2.8
182,Female,Bengkulu,e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 5,000,001 - Rp 7,500,000",41% - 60%,3.5,4.0,4.666666666666667,3.0,3.2,2.8
183,Female,Kepulauan Riau,e-paylater user,Until Senior High School,2001,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,2.75,3.0,2.0,4.0,3.2,4.6
184,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3.0,1.0,2.0,4.0,3.2,2.2
185,Female,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,3.25,2.0,1.1666666666666667,4.0,4.0,2.6
186,Female,DKI Jakarta,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,3.5,1.0,1.0,3.5,3.6,2.2
187,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,3.75,4.0,2.6666666666666665,4.0,3.2,2.6
188,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"More than Rp 10,000,000",Less than 20%,2.0,2.0,2.6666666666666665,4.0,3.2,2.8
189,Female,Jambi,Non e-paylater user,Until Senior High School,2000,Not Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,1.0,1.1666666666666667,1.0,3.0,5.0
190,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3.5,2.0,3.0,3.0,3.2,3.6
191,Male,West Java,Non e-paylater user,Post Graduate,1998,Working,"More than Rp 10,000,000",Less than 20%,2.0,2.0,2.0,4.0,4.0,4.2
192,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Not Working,"More than Rp 10,000,000",21% - 40%,2.0,1.0,1.0,4.0,3.0,3.8
193,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2000,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3.25,3.25,3.3333333333333335,3.5,2.8,4.2
194,Female,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"More than Rp 10,000,000",Less than 20%,1.75,2.0,2.0,2.25,3.4,3.8
195,Male,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1987,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2.0,2.0,2.0,2.75,4.0,4.6
196,Male,West Sumatera,e-paylater user,Post Graduate,2002,Entrepreneur,"More than Rp 10,000,000",21% - 40%,3.75,4.5,4.5,4.5,2.8,3.2
197,Female,West Kalimantan,Non e-paylater user,Until Senior High School,2005,Students,"Less than Rp 1,000,000",Less than 20%,3.5,1.0,1.0,4.0,2.8,1.2
198,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"Rp 1,000,001 - Rp 2,500,000",41% - 60%,4.0,3.5,4.0,4.0,2.8,4.0
199,Female,West Sumatera,Non e-paylater user,Post Graduate,1999,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,1.75,1.0,1.0,4.0,4.0,3.2
200,Female,West Java,Non e-paylater user,Bachelor/Diploma IV,2000,Entrepreneur,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.0,2.0,2.3333333333333335,4.0,4.4,3.6
201,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2004,Students,"Less than Rp 1,000,000",Less than 20%,3.25,3.5,2.1666666666666665,4.0,3.6,3.4
202,Female,West Sumatera,e-paylater user,Until Senior High School,2000,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3.25,3.0,3.6666666666666665,4.0,3.0,3.6
203,Female,West Sumatera,Non e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,4.0,2.0,2.0,3.5,2.6,3.8
204,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2001,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,1.5,3.0,2.3333333333333335,3.25,4.0,4.2
205,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,2.0,3.0,3.0,3.0,3.0,3.0
206,Male,DKI Jakarta,Non e-paylater user,Until Senior High School,1995,Students,"Less than Rp 1,000,000",41% - 60%,4.0,3.0,4.166666666666667,3.25,3.8,3.4
207,Male,Banten,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,2.0,1.0,2.0,4.25,2.8,3.6
208,Male,East Java,e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.25,3.5,3.5,4.0,3.4,3.2
209,Female,West Sumatera,Non e-paylater user,Until Senior High School,1990,Students,"Less than Rp 1,000,000",Less than 20%,2.5,2.0,1.0,4.0,3.4,3.2
210,Male,DKI Jakarta,Non e-paylater user,Post Graduate,2003,Working,"More than Rp 10,000,000",Less than 20%,2.0,2.0,1.0,3.0,3.4,3.0
211,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2001,Students,"Less than Rp 1,000,000",21% - 40%,2.25,2.0,2.0,3.75,3.6,3.2
212,Male,Bengkulu,Non e-paylater user,Until Senior High School,1999,Students,"Less than Rp 1,000,000",21% - 40%,2.5,2.0,2.0,3.25,3.0,2.8
213,Male,West Java,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"More than Rp 10,000,000",Less than 20%,1.0,1.0,1.0,1.0,2.8,2.8
214,Male,West Java,e-paylater user,Bachelor/Diploma IV,1997,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3.25,2.0,2.0,4.0,2.8,3.6
215,Female,West Java,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,1.5,1.0,1.0,4.0,2.4,5.0
216,Male,DKI Jakarta,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,3.75,4.0,3.6666666666666665,3.75,3.2,2.8
217,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1997,Students,"Less than Rp 1,000,000",21% - 40%,4.25,1.75,2.6666666666666665,4.0,3.8,4.4
218,Male,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,2004,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,1.75,1.0,3.0,3.0,4.0,4.6
219,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2.0,2.0,2.0,3.5,3.0,2.8
220,Male,Lampung,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3.25,2.5,2.3333333333333335,5.0,3.4,1.8
221,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1981,Working,"More than Rp 10,000,000",Less than 20%,3.75,4.0,4.0,4.0,2.4,4.4
222,Male,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2004,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3.0,3.75,3.0,3.25,3.4,2.4
223,Male,West Sumatera,Non e-paylater user,Post Graduate,1987,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.75,2.0,3.0,3.0,4.4,1.0
224,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1996,Students,"Less than Rp 1,000,000",Less than 20%,3.75,4.0,3.6666666666666665,3.75,3.2,2.8
225,Male,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3.25,2.0,2.1666666666666665,4.5,4.4,5.0
226,Male,DKI Jakarta,Non e-paylater user,Post Graduate,1981,Working,"More than Rp 10,000,000",Less than 20%,2.0,2.0,2.0,4.0,4.0,1.6
227,Female,Riau,Non e-paylater user,Until Senior High School,1992,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2.5,2.75,4.166666666666667,4.25,3.4,3.4
228,Female,West Sumatera,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,1.75,1.0,1.0,3.25,2.8,1.6
229,Female,DKI Jakarta,e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,2.25,3.75,2.6666666666666665,3.25,3.6,1.2
230,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1.75,1.0,2.1666666666666665,3.5,4.2,3.6
231,Male,West Sumatera,Non e-paylater user,Post Graduate,1985,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,2.0,2.0,3.0,3.0,4.2
232,Male,West Sumatera,Non e-paylater user,Until Senior High School,1996,Students,"Less than Rp 1,000,000",Less than 20%,1.75,1.75,2.0,3.0,1.6,1.2
233,Female,Banten,Non e-paylater user,Post Graduate,1999,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.0,1.0,1.0,3.5,4.0,2.6
234,Female,Banten,Non e-paylater user,"Diploma I, II, III",2002,Students,"Less than Rp 1,000,000",Less than 20%,3.0,1.0,1.0,2.5,2.8,4.2
235,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"More than Rp 10,000,000",61% - 80%,5.0,3.0,3.0,4.0,2.2,2.6
236,Female,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,2.0,2.0,3.0,2.6,3.8
237,Female,West Sumatera,Non e-paylater user,Post Graduate,1978,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2.0,1.0,1.0,3.5,3.4,4.0
238,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1995,Working,"More than Rp 10,000,000",Less than 20%,3.25,2.0,2.0,3.25,3.8,2.6
239,Female,West Sumatera,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,4.0,3.0,3.0,3.0,2.8,3.0
240,Male,DKI Jakarta,Non e-paylater user,Until Senior High School,1985,Students,"Less than Rp 1,000,000",Less than 20%,3.25,3.0,3.0,4.0,2.8,4.0
241,Male,Nanggore Aceh Darussalam,Non e-paylater user,Post Graduate,2003,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2.0,1.0,1.0,2.5,3.6,2.8
242,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 2,500,001 - Rp 5,000,000",41% - 60%,3.25,4.0,3.0,4.0,3.6,2.0
243,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2003,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,3.0,4.0,3.3333333333333335,4.0,3.6,3.6
244,Female,DI Yogyakarta,e-paylater user,Bachelor/Diploma IV,2001,Working,"More than Rp 10,000,000",Less than 20%,3.5,3.5,3.0,3.0,3.2,3.4
245,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2003,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3.25,1.0,1.1666666666666667,3.0,3.0,4.4
246,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3.0,2.75,2.0,4.0,3.2,3.4
247,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1990,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,4.0,2.0,1.5,4.0,4.0,4.0
248,Female,DKI Jakarta,Non e-paylater user,Post Graduate,1997,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1.0,1.0,1.0,2.0,5.0,3.6
249,Female,West Java,Non e-paylater user,"Diploma I, II, III",2003,Entrepreneur,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4.0,4.0,4.0,4.0,2.6,2.0
250,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3.5,2.0,3.0,4.0,2.8,3.4
251,Male,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,3.75,1.0,1.1666666666666667,3.0,3.0,4.2
252,Female,West Sumatera,Non e-paylater user,Until Senior High School,1969,Students,"Less than Rp 1,000,000",Less than 20%,3.0,1.0,2.0,4.5,2.4,4.4
253,Male,West Sumatera,Non e-paylater user,Until Senior High School,1977,Students,"Less than Rp 1,000,000",Less than 20%,2.0,2.5,1.8333333333333333,2.0,3.8,2.8
254,Male,West Java,Non e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",21% - 40%,3.5,1.0,2.3333333333333335,4.0,2.6,3.8
255,Female,West Sumatera,e-paylater user,"Diploma I, II, III",1989,Students,"Less than Rp 1,000,000",41% - 60%,2.5,1.0,1.0,3.5,3.8,3.6
256,Female,West Sumatera,Non e-paylater user,Until Senior High School,1999,Students,"Less than Rp 1,000,000",Less than 20%,2.0,1.0,1.0,3.5,4.2,4.8
257,Female,DKI Jakarta,e-paylater user,"Diploma I, II, III",1993,Not Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,3.25,3.0,3.0,2.8,3.6
258,Female,Central Java,Non e-paylater user,Bachelor/Diploma IV,2002,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4.0,2.75,3.1666666666666665,4.0,3.2,2.8
259,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1995,Students,"Less than Rp 1,000,000",Less than 20%,3.25,2.75,2.3333333333333335,3.0,2.6,2.6
260,Female,Banten,e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1.75,4.0,2.6666666666666665,3.0,4.0,5.0
261,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1990,Working,"More than Rp 10,000,000",Less than 20%,2.0,2.0,2.0,3.0,3.4,5.0
262,Female,West Sumatera,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,2.75,2.0,3.0,3.25,2.8,5.0
263,Female,West Sumatera,Non e-paylater user,Post Graduate,1994,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2.0,2.0,2.5,4.0,3.6,3.8
264,Male,West Sumatera,Non e-paylater user,Until Senior High School,1991,Students,"Less than Rp 1,000,000",Less than 20%,2.75,2.0,2.1666666666666665,3.0,3.6,5.0
265,Female,West Sumatera,Non e-paylater user,Until Senior High School,1993,Students,"Less than Rp 1,000,000",Less than 20%,2.75,3.5,2.6666666666666665,3.5,4.0,3.0
266,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.5,2.0,2.0,3.5,3.0,3.0
267,Female,West Sumatera,e-paylater user,Until Senior High School,1992,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.75,1.0,1.0,4.0,3.2,3.8
268,Male,West Sumatera,Non e-paylater user,Until Senior High School,1984,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4.0,2.0,3.6666666666666665,4.0,2.8,3.4
269,Female,West Sumatera,Non e-paylater user,Until Senior High School,1980,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.75,4.25,3.6666666666666665,5.0,3.2,3.8
270,Male,West Sumatera,Non e-paylater user,Until Senior High School,1995,Students,"Less than Rp 1,000,000",Less than 20%,1.0,2.0,2.0,3.0,3.6,4.4
271,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,2.0,1.0,1.5,4.0,4.2,2.4
272,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1996,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2.25,1.75,3.3333333333333335,4.0,2.8,2.8
273,Female,West Java,e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2.0,1.0,1.0,1.0,3.4,3.0
274,Male,Riau,Non e-paylater user,Until Senior High School,1977,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2.0,1.0,1.0,4.0,3.0,4.2
275,Male,East Java,Non e-paylater user,"Diploma I, II, III",1988,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,2.0,2.0,3.0,3.8,3.8
276,Male,East Java,e-paylater user,Post Graduate,2002,Working,"Rp 1,000,001 - Rp 2,500,000",61% - 80%,3.5,4.0,2.3333333333333335,4.0,3.2,5.0
277,Female,Banten,e-paylater user,Bachelor/Diploma IV,1994,Working,"More than Rp 10,000,000",41% - 60%,4.5,3.5,2.0,4.0,2.8,3.0
278,Male,Riau,Non e-paylater user,Bachelor/Diploma IV,1980,Students,"Less than Rp 1,000,000",Less than 20%,3.25,4.0,4.0,4.0,2.8,3.0
279,Female,West Sumatera,e-paylater user,Until Senior High School,1994,Not Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,2.0,3.5,2.1666666666666665,3.25,3.8,4.2
280,Female,West Sumatera,Non e-paylater user,Until Senior High School,1977,Students,"Less than Rp 1,000,000",Less than 20%,3.25,1.0,1.0,4.25,3.2,4.2
281,Female,West Nusa Tenggara,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,2.0,4.0,4.0,5.0,2.8,1.0
282,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1977,Students,"Less than Rp 1,000,000",Less than 20%,1.0,1.0,1.1666666666666667,1.0,3.0,2.2
283,Male,West Sumatera,Non e-paylater user,Post Graduate,1978,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,2.0,3.1666666666666665,4.0,3.4,4.6
284,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1988,Working,"More than Rp 10,000,000",21% - 40%,2.25,1.0,3.0,3.0,3.4,3.4
285,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1972,Working,"Rp 7,500,001 - Rp 10,000,000",41% - 60%,2.0,1.0,1.0,3.25,4.6,3.8
286,Female,Kepulauan Riau,Non e-paylater user,Post Graduate,1979,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2.0,1.0,2.0,2.5,4.8,3.6
287,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1984,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,3.0,3.0,4.0,4.0,3.4,4.0
288,Female,West Sumatera,Non e-paylater user,Until Senior High School,1969,Students,"Less than Rp 1,000,000",21% - 40%,1.75,1.0,1.0,4.0,3.4,4.2
289,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",1979,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1.0,1.0,1.0,3.0,4.0,3.6
290,Female,West Sumatera,e-paylater user,Post Graduate,1990,Working,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3.0,4.0,3.3333333333333335,4.0,2.8,4.4
291,Male,Nanggore Aceh Darussalam,e-paylater user,Until Senior High School,1979,Students,"Less than Rp 1,000,000",21% - 40%,4.0,2.75,3.3333333333333335,3.5,1.4,4.8
292,Male,Banten,e-paylater user,Bachelor/Diploma IV,1974,Students,"Less than Rp 1,000,000",Less than 20%,3.5,4.0,4.0,1.75,2.2,3.2
293,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,1981,Working,"More than Rp 10,000,000",Less than 20%,2.25,4.0,3.8333333333333335,4.0,3.4,3.0
294,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1979,Students,"Less than Rp 1,000,000",Less than 20%,4.0,2.0,2.0,4.0,2.8,3.0
295,Female,DKI Jakarta,Non e-paylater user,Post Graduate,2002,Working,"More than Rp 10,000,000",41% - 60%,2.0,1.0,1.1666666666666667,4.0,4.0,3.4
296,Female,Central Java,e-paylater user,Until Senior High School,1979,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.0,3.75,4.0,4.75,3.8,3.4
297,Female,West Java,Non e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",Less than 20%,4.0,3.75,3.8333333333333335,5.0,3.0,3.8
298,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2.5,1.0,2.0,4.0,3.0,3.6
299,Female,West Sumatera,e-paylater user,Until Senior High School,1994,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.0,4.25,3.0,2.75,3.0,2.2
300,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1973,Students,"Less than Rp 1,000,000",41% - 60%,3.5,2.0,2.0,3.5,3.2,3.4
301,Male,North Sumatera,Non e-paylater user,Bachelor/Diploma IV,1973,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,1.75,2.25,3.1666666666666665,4.0,3.4,3.6
302,Female,West Sumatera,Non e-paylater user,Until Senior High School,1978,Students,"Less than Rp 1,000,000",Less than 20%,1.25,3.5,1.0,2.25,3.4,3.2
303,Female,West Sumatera,Non e-paylater user,Until Senior High School,1987,Students,"Less than Rp 1,000,000",Less than 20%,2.0,2.0,1.3333333333333333,3.5,3.4,4.4
304,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1982,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,2.0,2.0,2.0,4.4,4.6
305,Female,West Sumatera,Non e-paylater user,Post Graduate,1974,Working,"More than Rp 10,000,000",Less than 20%,2.0,1.75,2.0,2.75,3.6,3.2
306,Female,West Java,Non e-paylater user,Post Graduate,1970,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3.0,2.0,2.1666666666666665,3.5,3.4,2.0
307,Male,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,2.0,2.0,3.5,3.6,2.8
308,Male,Bengkulu,Non e-paylater user,Post Graduate,1975,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3.75,2.0,2.5,3.75,3.6,2.6
309,Female,Kepulauan Riau,Non e-paylater user,Bachelor/Diploma IV,1973,Not Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.0,1.0,3.0,2.0,3.0,2.8
310,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,3.75,2.0,3.3333333333333335,4.0,3.4,3.4
311,Male,Jambi,e-paylater user,Bachelor/Diploma IV,1996,Working,"More than Rp 10,000,000",Less than 20%,3.0,3.5,3.6666666666666665,3.0,3.2,3.0
312,Female,Central Java,e-paylater user,Until Senior High School,1971,Students,"Less than Rp 1,000,000",Less than 20%,2.5,1.0,1.1666666666666667,4.0,3.0,3.2
313,Female,West Java,Non e-paylater user,Post Graduate,1979,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3.5,2.0,2.0,2.0,2.6,3.2
314,Female,Kepulauan Riau,Non e-paylater user,Until Senior High School,1983,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3.0,3.0,3.0,3.25,2.8,4.0
315,Female,Jambi,Non e-paylater user,Until Senior High School,1984,Students,"Less than Rp 1,000,000",21% - 40%,3.75,1.0,1.0,4.0,1.8,1.4
316,Female,DKI Jakarta,Non e-paylater user,"Diploma I, II, III",1978,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2.5,3.0,3.0,4.0,2.8,3.0
