ID,Gender,Location,E-Paylater User Status,Educational Background,Year of Birth,Job Status,Monthly Income,Online Shopping Expenditure Percentage,IBB1,IBB2,IBB3,IBB4,P1,P2,P3,P4,SI1,SI2,SI3,SI4,SI5,SI6,H1,H2,H3,H4,SC1,SC2,SC3,SC4,SC5,NE1,NE2,NE3,NE4,NE5
117,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1979,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,3,1,1,1,1,1,1,1,3,3,3,2,2,3,2,2,2,3,5,5,1,1,1,5,5,5,5,5
118,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,2,2,2,2,2,2,2,3,3,3,2,2,1,2,4,4,4,4,3,3,2,3,3,5,5,5,4,3
119,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1990,Working,"More than Rp 10,000,000",Less than 20%,4,5,2,4,5,5,2,4,5,2,4,5,3,5,3,5,3,5,4,2,2,1,3,5,4,5,3,5
120,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",Less than 20%,4,5,2,4,5,5,2,4,5,2,4,5,3,5,3,5,3,5,4,2,2,1,3,5,4,5,3,5
121,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,5,5,2,5,4,5,3,3,5,3,4,5,2,4,5,2,4,4,5,4,2,1,4,5,2,4,2
122,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2001,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,3,3,1,3,1,1,2,1,1,1,1,1,1,2,2,1,1,4,4,2,3,2,1,5,5,5,5
123,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,4,1,4,5,5,4,2,4,5,4,5,5,3,5,3,4,4,5,4,5,4,2,1,3,5,1,2,3
124,Female,West Sumatera,e-paylater user,"Diploma I, II, III",2000,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,4,5,1,4,4,5,2,4,2,5,3,4,5,4,2,3,4,5,4,5,3,2,1,4,2,5,2,5
125,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1995,Working,"Rp 5,000,001 - Rp 7,500,000",61% - 80%,2,3,3,2,1,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4,3,4,4,3,4,4,4,3
126,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2000,Entrepreneur,"Rp 1,000,001 - Rp 2,500,000",41% - 60%,4,4,4,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,5,2,3,4,3,3,3,3,1
127,Female,West Java,Non e-paylater user,Until Senior High School,1988,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3,3,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,4,4,3,3,3
128,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,3,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3
129,Female,West Sumatera,e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3,5,4,3,4,4,4,4,4,3,4,4,3,3,4,5,4,4,5,5,3,4,4,3,3,4,4,4
130,Male,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,1,1,1,1,1,1,1,1,3,1,1,1,1,4,4,4,2,5,4,2,4,5,4,4,1,5,5
131,Male,North Sumatera,Non e-paylater user,Until Senior High School,1996,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,3,3,4,4,4,4,5,3
132,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2003,Entrepreneur,"More than Rp 10,000,000",21% - 40%,4,3,5,5,1,2,2,3,2,5,5,5,2,2,2,3,1,3,4,2,2,1,1,4,2,4,2,5
133,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2003,Working,"More than Rp 10,000,000",Less than 20%,2,2,2,2,2,2,2,2,1,1,1,1,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5
134,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,5,5,5,5,5,5,5
135,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",21% - 40%,4,2,2,2,2,2,2,4,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
136,Male,West Java,Non e-paylater user,Post Graduate,1989,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
137,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Entrepreneur,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,1,1,1,1,2,2,2,2,3,4,2,1,2,2,4,3,3,3,4,4,2,2,3,4,4,4,3,3
138,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,4,5,2,4,3,3,5,5,4,2,4,5,5,2,4,5,2,4,4,5,4,2,1,1,2,4,5,2
139,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",41% - 60%,3,4,4,3,3,4,3,4,3,4,2,3,2,2,4,3,3,4,3,4,2,2,2,4,4,4,4,4
140,Female,West Sumatera,e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",Less than 20%,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,2,2,2,2,2,3,3,2
141,Female,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,4,3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,2,3,2,2,2
142,Female,Riau,e-paylater user,Bachelor/Diploma IV,2001,Working,"Rp 5,000,001 - Rp 7,500,000",21% - 40%,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4
143,Female,West Java,Non e-paylater user,Until Senior High School,1977,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,1,3,1,2,2,3,2,1,2,1,1,1,1,3,2,3,3,5,5,2,2,2,3,3,3,4,3
144,Male,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"More than Rp 10,000,000",Less than 20%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,4,2,4,5,5,5,5,3
145,Male,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1
146,Female,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,4,4,2,4,3,4,4,3
147,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Students,"Less than Rp 1,000,000",Less than 20%,4,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,2,2,3,3,1,1,1,1
148,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Entrepreneur,"More than Rp 10,000,000",Less than 20%,5,5,5,5,3,3,3,3,2,2,2,2,2,2,4,4,4,4,5,5,2,2,2,4,4,5,5,3
149,Female,Jambi,Non e-paylater user,Until Senior High School,2000,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,2,2,2,2
150,Female,West Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,4,4,3,1,1,1,1,3,4,3,2,2,3,4,4,4,4,4,4,2,2,2,2,2,4,4,4
151,Female,Riau,e-paylater user,Bachelor/Diploma IV,2000,Working,"More than Rp 10,000,000",Less than 20%,4,5,2,4,5,5,2,4,5,2,4,5,3,5,3,5,3,5,4,2,2,1,3,5,4,5,3,5
152,Female,West Sumatera,Non e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4
153,Female,West Sumatera,Non e-paylater user,Until Senior High School,1997,Students,"Less than Rp 1,000,000",Less than 20%,4,2,2,1,3,4,4,4,4,3,3,3,3,3,4,3,4,4,3,3,2,4,4,3,3,2,3,3
154,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1996,Not Working,"Less than Rp 1,000,000",41% - 60%,5,3,3,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,3,3,3,4,4,3,2
155,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1999,Working,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2,1,2,1,4,4,3,3,3,4,3,3,2,4,4,4,4,4,3,5,2,2,4,5,5,5,5,5
156,Male,West Sumatera,Non e-paylater user,Until Senior High School,2002,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,2,2,2,1,1,2,2,2
157,Female,West Sumatera,Non e-paylater user,Post Graduate,1980,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,3,1,1,1,1,1,1,2,2,1,1,1,1,4,3,4,4,4,4,3,3,5,3,3,5,4,4
158,Female,Bengkulu,Non e-paylater user,Post Graduate,1999,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,2,3,2,2,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,4,4,3,3,3
159,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1992,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,3,4,2,2,2,2,2,3,4,2,2,2,2,3,3,3,4,4,4,2,2,3,4,4,5,4,2
160,Female,West Sumatera,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,3,1,2,2,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,3,3,4,2,3,3,3,4
161,Male,West Sumatera,Non e-paylater user,Until Senior High School,1977,Students,"Less than Rp 1,000,000",Less than 20%,3,3,3,3,2,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,2,3,4,4,4,5,4,4
162,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1996,Working,"More than Rp 10,000,000",81% - 100%,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3
163,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,2,3,4,1,2,4,2,4,4,4,3,5,3,4,4,4,4,4,4,4,2,4,5,2,4,5,5,3
164,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,2,2,4,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,5,5,5,4,5
165,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,1983,Students,"Less than Rp 1,000,000",Less than 20%,1,2,4,1,1,1,1,2,2,1,1,1,1,1,4,4,4,4,4,4,2,4,3,3,3,3,2,2
166,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,3,2,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3
167,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,3,3,3,3,3
168,Female,West Sumatera,e-paylater user,Until Senior High School,1998,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3,2,2,2,3,4,1,2,4,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,5,4,5
169,Female,West Sumatera,e-paylater user,Until Senior High School,1999,Students,"Rp 1,000,001 - Rp 2,500,000",41% - 60%,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,3,3,3
170,Female,Riau,Non e-paylater user,Bachelor/Diploma IV,1981,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,2,4,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,5,4,4,3,3
171,Male,West Sumatera,Non e-paylater user,Post Graduate,2002,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,5,2,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,3,4,3,3,4,4,4,4,4,1
172,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Working,"More than Rp 10,000,000",Less than 20%,3,2,2,1,1,1,1,1,1,2,1,1,1,1,4,4,3,3,4,4,4,4,5,5,5,5,3,4
173,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1998,Not Working,"More than Rp 10,000,000",21% - 40%,2,2,2,1,2,2,2,2,4,1,1,1,1,2,4,3,4,3,4,4,4,4,4,2,2,2,2,1
174,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2000,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,1,1,3,1,1,2,1,2,2,1,1,1,1,1,3,2,3,4,4,4,3,3,4,5,4,4,3,3
175,Female,West Java,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,4,3,2,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,3,3,4,4,4,3,4
176,Female,West Sumatera,Non e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",Less than 20%,2,3,4,5,2,2,2,5,3,2,1,1,1,4,4,4,3,3,5,4,3,3,4,4,4,3,5,5
177,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"Less than Rp 1,000,000",Less than 20%,3,3,4,2,2,4,1,1,3,2,3,2,3,3,4,3,4,3,4,3,2,2,2,3,2,5,4,2
178,Female,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,5,4,4,5,5,5
179,Female,West Sumatera,e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,3,3,5,5,5,5,5
180,Female,Jambi,Non e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,2,1,1,4,1,4,2,4,3,2,2,2,3,3,5,5,5,5,3,3,3,2,3,4,4,4,5,5
181,Female,West Sumatera,e-paylater user,Until Senior High School,2003,Students,"Less than Rp 1,000,000",21% - 40%,4,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,2,2,2,3,3,3,3
182,Female,Bengkulu,e-paylater user,Bachelor/Diploma IV,1998,Working,"Rp 5,000,001 - Rp 7,500,000",41% - 60%,4,5,1,4,2,4,5,5,5,5,4,5,4,5,5,2,2,3,4,5,4,2,1,4,5,2,2,1
183,Female,Kepulauan Riau,e-paylater user,Until Senior High School,2001,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,2,3,5,1,4,4,2,2,2,2,2,2,2,2,4,4,4,4,5,5,1,2,3,5,5,5,5,3
184,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3,4,3,2,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,3,2,3,2,2,2,2,3
185,Female,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"Rp 2,500,001 - Rp 5,000,000",21% - 40%,4,4,3,2,2,2,2,2,1,1,2,1,1,1,4,4,4,4,4,4,3,5,4,3,3,3,2,2
186,Female,DKI Jakarta,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,3,5,5,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,5,4,3,3,3,3,3,3,1,1
187,Female,West Sumatera,Non e-paylater user,Until Senior High School,2001,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,3,4,4,4,4,4,2,2,4,1,3,4,4,4,4,5,4,3,2,2,3,3,2,4,1
188,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Working,"More than Rp 10,000,000",Less than 20%,2,2,2,2,2,2,2,2,3,3,3,3,2,2,4,4,4,4,4,4,2,3,3,3,3,2,3,3
189,Female,Jambi,Non e-paylater user,Until Senior High School,2000,Not Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,2,3,3,5,5,5,5,5
190,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,4,4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,4,4,4,3,3
191,Male,West Java,Non e-paylater user,Post Graduate,1998,Working,"More than Rp 10,000,000",Less than 20%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5
192,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2001,Not Working,"More than Rp 10,000,000",21% - 40%,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,2,3,3,4,4,4,3,4
193,Female,West Sumatera,Non e-paylater user,"Diploma I, II, III",2000,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,4,4,3,3,2,3,3,5,5,4,5,2
194,Female,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"More than Rp 10,000,000",Less than 20%,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,3,3,4,4,4,4,3
195,Male,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,1987,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,4,4,4,4,4,4,5,5,4,5
196,Male,West Sumatera,e-paylater user,Post Graduate,2002,Entrepreneur,"More than Rp 10,000,000",21% - 40%,5,3,2,5,5,4,5,4,5,5,4,5,3,5,4,5,5,4,4,5,1,3,1,1,2,4,5,4
197,Female,West Kalimantan,Non e-paylater user,Until Senior High School,2005,Students,"Less than Rp 1,000,000",Less than 20%,4,3,3,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,2,2,1,2,1,1,1
198,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2000,Working,"Rp 1,000,001 - Rp 2,500,000",41% - 60%,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4
199,Female,West Sumatera,Non e-paylater user,Post Graduate,1999,Working,"Rp 7,500,001 - Rp 10,000,000",21% - 40%,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,3,3,3,2
200,Female,West Java,Non e-paylater user,Bachelor/Diploma IV,2000,Entrepreneur,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,4,4,4,4,5,5,4,4,4,4,4,3,3
201,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2004,Students,"Less than Rp 1,000,000",Less than 20%,3,3,4,3,4,4,2,4,3,2,2,2,2,2,4,4,4,4,4,3,3,4,4,4,4,4,2,3
202,Female,West Sumatera,e-paylater user,Until Senior High School,2000,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,2,3,4,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,2,3,3,4,4,4,3,3
203,Female,West Sumatera,Non e-paylater user,Until Senior High School,2000,Students,"Less than Rp 1,000,000",21% - 40%,4,5,4,3,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,4,2,2,2,3,4,4,4,4
204,Female,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2001,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,1,2,2,1,3,3,3,3,2,2,2,3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,5
205,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2
206,Male,DKI Jakarta,Non e-paylater user,Until Senior High School,1995,Students,"Less than Rp 1,000,000",41% - 60%,4,4,4,4,3,3,3,3,3,4,5,5,4,4,4,3,3,3,4,5,3,3,4,4,3,3,3,4
207,Male,Banten,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,3,2,2,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,4,4,2,2,2,2,2,4,5,5
208,Male,East Java,e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,3,4,3,3,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,4,2,3,3,4
209,Female,West Sumatera,Non e-paylater user,Until Senior High School,1990,Students,"Less than Rp 1,000,000",Less than 20%,3,2,2,3,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4,3,3,3,4,4,3,3,3,3
210,Male,DKI Jakarta,Non e-paylater user,Post Graduate,2003,Working,"More than Rp 10,000,000",Less than 20%,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,4,3,3,4,3,3,3,3,3
211,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2001,Students,"Less than Rp 1,000,000",21% - 40%,2,2,3,2,2,2,2,2,3,2,2,1,2,2,4,3,4,4,4,4,3,3,4,3,2,4,4,3
212,Male,Bengkulu,Non e-paylater user,Until Senior High School,1999,Students,"Less than Rp 1,000,000",21% - 40%,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3,3,4,3,3,2,2
213,Male,West Java,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"More than Rp 10,000,000",Less than 20%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,2,3,3,4,2
214,Male,West Java,e-paylater user,Bachelor/Diploma IV,1997,Working,"Rp 5,000,001 - Rp 7,500,000",Less than 20%,4,4,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,3,4,4,4,3
215,Female,West Java,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,2,2,2,5,5,5,5,5
216,Male,DKI Jakarta,Non e-paylater user,"Diploma I, II, III",2003,Students,"Less than Rp 1,000,000",Less than 20%,4,5,2,4,3,3,5,5,4,2,4,5,5,2,4,5,2,4,4,5,4,2,1,1,2,4,5,2
217,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1997,Students,"Less than Rp 1,000,000",21% - 40%,4,4,4,5,1,2,2,2,3,3,3,3,2,2,4,4,4,4,4,5,3,3,4,5,5,5,4,3
218,Male,DKI Jakarta,e-paylater user,Bachelor/Diploma IV,2004,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,2,3,1,1,1,1,1,1,4,4,4,2,1,3,3,3,3,3,4,4,4,3,5,5,4,4,5,5
219,Female,DKI Jakarta,Non e-paylater user,Until Senior High School,2003,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,4,2,2,3,3,3,3,2,3
220,Male,Lampung,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,5,4,3,1,1,1,4,4,4,2,2,2,2,2,5,5,5,5,5,5,1,2,4,1,2,2,2,2
221,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,1981,Working,"More than Rp 10,000,000",Less than 20%,4,5,2,4,5,5,2,4,5,2,4,5,3,5,3,5,3,5,4,2,2,1,3,5,4,5,3,5
222,Male,DKI Jakarta,Non e-paylater user,Bachelor/Diploma IV,2004,Working,"Rp 7,500,001 - Rp 10,000,000",Less than 20%,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,4,2,2,2,2
223,Male,West Sumatera,Non e-paylater user,Post Graduate,1987,Students,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,2,3,2,2,2,2,2,3,3,3,4,2,3,3,3,3,3,5,5,4,4,4,1,1,1,1,1
224,Male,West Sumatera,Non e-paylater user,"Diploma I, II, III",1996,Students,"Less than Rp 1,000,000",Less than 20%,4,5,2,4,3,3,5,5,4,2,4,5,5,2,4,5,2,4,4,5,4,2,1,1,2,4,5,2
225,Male,DKI Jakarta,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,1,2,2,2,2,2,3,2,2,2,2,4,4,5,5,5,5,4,4,4,5,5,5,5,5
226,Male,DKI Jakarta,Non e-paylater user,Post Graduate,1981,Working,"More than Rp 10,000,000",Less than 20%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,1,2,1
227,Female,Riau,Non e-paylater user,Until Senior High School,1992,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,2,3,1,3,3,3,2,3,4,4,5,5,4,4,4,4,5,3,3,3,4,4,3,5,3,3,3
228,Female,West Sumatera,Non e-paylater user,Until Senior High School,1989,Students,"Less than Rp 1,000,000",Less than 20%,3,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,4,3,2,2,3,2,2,2,1,1
229,Female,DKI Jakarta,e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3,2,2,2,3,4,4,4,4,2,4,2,2,2,3,3,4,3,4,4,3,3,4,2,1,1,1,1
230,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1999,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,2,2,1,1,1,1,1,1,4,1,3,1,3,4,3,4,3,5,4,4,4,4,3,3,4,5,3
231,Male,West Sumatera,Non e-paylater user,Post Graduate,1985,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,5
232,Male,West Sumatera,Non e-paylater user,Until Senior High School,1996,Students,"Less than Rp 1,000,000",Less than 20%,3,2,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,2,2,2,1,2,1,1,1
233,Female,Banten,Non e-paylater user,Post Graduate,1999,Working,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,4,4,3,4,3,5,5,1,3,3,3,3
234,Female,Banten,Non e-paylater user,"Diploma I, II, III",2002,Students,"Less than Rp 1,000,000",Less than 20%,4,3,1,4,1,1,1,1,1,1,1,1,1,1,3,2,2,3,4,4,2,2,2,4,5,4,3,5
